Stock A,Stock B,Correlation,Lag,Category
CHOLAFIN.NS,SBILIFE.NS,0.7285016160194868,8,Positive
CHOLAFIN.NS,DRREDDY.NS,0.6060773857177164,16,Positive
CHOLAFIN.NS,TATACONSUM.NS,0.34577926259586356,-20,No Correlation
CHOLAFIN.NS,INFY.NS,0.6320809334646728,20,Positive
CHOLAFIN.NS,BRITANNIA.NS,0.8928634733954748,7,Positive
CHOLAFIN.NS,ZYDUSLIFE.NS,0.8013352661135993,-20,Positive
CHOLAFIN.NS,ADANIENT.NS,0.16155938745390258,-20,No Correlation
CHOLAFIN.NS,HAL.NS,0.7288260183874393,-11,Positive
CHOLAFIN.NS,ADANIENSOL.NS,0.238168484129743,-20,No Correlation
CHOLAFIN.NS,LODHA.NS,0.4069394282163538,-6,No Correlation
CHOLAFIN.NS,TCS.NS,0.5023273952328828,20,Positive
CHOLAFIN.NS,JINDALSTEL.NS,0.7257801997564667,-8,Positive
CHOLAFIN.NS,ITC.NS,0.7892639254178779,15,Positive
CHOLAFIN.NS,TATASTEEL.NS,0.3093972723915946,-20,No Correlation
CHOLAFIN.NS,HINDUNILVR.NS,0.8625890315266194,6,Positive
CHOLAFIN.NS,HDFCLIFE.NS,0.7922055084024273,20,Positive
CHOLAFIN.NS,BANKBARODA.NS,-0.29078754542780505,0,No Correlation
CHOLAFIN.NS,PFC.NS,0.7278159943748472,-13,Positive
CHOLAFIN.NS,DMART.NS,0.7164780484805617,-19,Positive
CHOLAFIN.NS,SBIN.NS,0.4051353036401689,10,No Correlation
CHOLAFIN.NS,GODREJCP.NS,0.722724436246658,-13,Positive
CHOLAFIN.NS,UNITDSPR.NS,0.6498307396004892,20,Positive
CHOLAFIN.NS,UNIONBANK.NS,-0.6259720379083419,20,Negative
CHOLAFIN.NS,KOTAKBANK.NS,0.5179394156317918,-1,Positive
CHOLAFIN.NS,ADANIPOWER.NS,0.6777372827635126,-20,Positive
CHOLAFIN.NS,BOSCHLTD.NS,0.770858629709179,14,Positive
CHOLAFIN.NS,HCLTECH.NS,0.48544591511868684,20,No Correlation
CHOLAFIN.NS,MARUTI.NS,0.5231256563217597,-11,Positive
CHOLAFIN.NS,AMBUJACEM.NS,0.4758719778958134,-20,No Correlation
CHOLAFIN.NS,NTPC.NS,0.8084941781141683,11,Positive
CHOLAFIN.NS,LT.NS,0.09458044601195885,-12,No Correlation
CHOLAFIN.NS,ASIANPAINT.NS,0.5015800559362957,-8,Positive
CHOLAFIN.NS,RECLTD.NS,0.7415193150585975,-20,Positive
CHOLAFIN.NS,APOLLOHOSP.NS,0.538072390172442,20,Positive
CHOLAFIN.NS,PIDILITIND.NS,0.8207959810218428,2,Positive
CHOLAFIN.NS,ICICIPRULI.NS,0.8234635918945582,20,Positive
CHOLAFIN.NS,TORNTPHARM.NS,0.7119259733250385,20,Positive
CHOLAFIN.NS,PNB.NS,-0.5373327122009689,20,Negative
CHOLAFIN.NS,BEL.NS,0.6957714070240569,0,Positive
CHOLAFIN.NS,TECHM.NS,0.617112674680056,20,Positive
CHOLAFIN.NS,LICI.NS,0.5385958444728761,-20,Positive
CHOLAFIN.NS,CIPLA.NS,0.7628037048650633,5,Positive
CHOLAFIN.NS,NHPC.NS,0.5722917045248023,-20,Positive
CHOLAFIN.NS,JIOFIN.NS,-0.13275156993764478,20,No Correlation
CHOLAFIN.NS,TATAMOTORS.NS,0.4796762345664147,-20,No Correlation
CHOLAFIN.NS,DABUR.NS,0.8298016285852363,-9,Positive
CHOLAFIN.NS,ONGC.NS,0.6872317811809077,-20,Positive
CHOLAFIN.NS,IRFC.NS,0.7223367992948606,-20,Positive
CHOLAFIN.NS,DIVISLAB.NS,0.5908491596327728,20,Positive
CHOLAFIN.NS,GAIL.NS,0.7465852757172811,-7,Positive
CHOLAFIN.NS,LTIM.NS,0.6515611454495794,20,Positive
CHOLAFIN.NS,IRCTC.NS,-0.28755080104160924,20,No Correlation
CHOLAFIN.NS,ADANIGREEN.NS,0.2232912175148573,-20,No Correlation
CHOLAFIN.NS,VEDL.NS,0.7500982627209039,5,Positive
CHOLAFIN.NS,EICHERMOT.NS,0.636656597423726,-6,Positive
CHOLAFIN.NS,CANBK.NS,-0.3594843686394954,20,No Correlation
CHOLAFIN.NS,IOC.NS,0.3168875053976569,-20,No Correlation
CHOLAFIN.NS,GRASIM.NS,0.8840734359144914,8,Positive
CHOLAFIN.NS,TVSMOTOR.NS,0.8482318657590897,3,Positive
CHOLAFIN.NS,HEROMOTOCO.NS,0.7872822763677507,-5,Positive
CHOLAFIN.NS,MOTHERSON.NS,0.9268325132674256,9,Positive
CHOLAFIN.NS,DLF.NS,-0.28458387213853764,-20,No Correlation
CHOLAFIN.NS,BPCL.NS,0.5919357517214908,10,Positive
CHOLAFIN.NS,JSWENERGY.NS,0.7565328732573418,6,Positive
CHOLAFIN.NS,BAJAJ-AUTO.NS,0.8646122649551563,3,Positive
CHOLAFIN.NS,M&M.NS,0.6814161892094175,5,Positive
CHOLAFIN.NS,TRENT.NS,0.7866339956331443,20,Positive
CHOLAFIN.NS,TATAPOWER.NS,0.577495656858654,4,Positive
CHOLAFIN.NS,ABB.NS,0.713952766209708,-4,Positive
CHOLAFIN.NS,SIEMENS.NS,0.6984714177045674,6,Positive
CHOLAFIN.NS,BHEL.NS,0.659057679975674,-20,Positive
CHOLAFIN.NS,ULTRACEMCO.NS,0.7358441354868169,3,Positive
CHOLAFIN.NS,HAVELLS.NS,0.8990011358334271,-3,Positive
CHOLAFIN.NS,VBL.NS,0.5048802211914819,-4,Positive
BAJAJFINSV.NS,BAJFINANCE.NS,0.6915558018197381,-4,Positive
BAJAJFINSV.NS,INDUSINDBK.NS,-0.3835854711303426,20,No Correlation
BAJAJFINSV.NS,HINDALCO.NS,0.440693234136445,13,No Correlation
BAJAJFINSV.NS,COALINDIA.NS,0.23452509025598278,-20,No Correlation
BAJAJFINSV.NS,HDFCBANK.NS,0.4340160655297902,20,No Correlation
BAJAJFINSV.NS,SUNPHARMA.NS,0.718557790898164,-4,Positive
BAJAJFINSV.NS,ZOMATO.NS,0.5604642372416245,-20,Positive
BAJAJFINSV.NS,AXISBANK.NS,0.042226217667799215,14,No Correlation
BAJAJFINSV.NS,JSWSTEEL.NS,0.6563404115842766,13,Positive
BAJAJFINSV.NS,ICICIGI.NS,0.7896683163959088,-10,Positive
BAJAJFINSV.NS,NAUKRI.NS,0.5259241209813423,-1,Positive
BAJAJFINSV.NS,NESTLEIND.NS,-0.32480236740029256,20,No Correlation
BAJAJFINSV.NS,RELIANCE.NS,-0.4538405582475013,20,No Correlation
BAJAJFINSV.NS,INDIGO.NS,0.5682719802098726,-7,Positive
BAJAJFINSV.NS,BHARTIARTL.NS,0.6761236411264104,2,Positive
BAJAJFINSV.NS,ICICIBANK.NS,0.5155314705390981,1,Positive
BAJAJFINSV.NS,WIPRO.NS,0.3805458300687605,-2,No Correlation
BAJAJFINSV.NS,POWERGRID.NS,0.41254878524985483,-20,No Correlation
BAJAJFINSV.NS,TITAN.NS,0.3988194541247443,-8,No Correlation
BAJAJFINSV.NS,ATGL.NS,-0.5428815984629617,10,Negative
BAJAJFINSV.NS,SHREECEM.NS,-0.39191142215860164,20,No Correlation
BAJAJFINSV.NS,ADANIPORTS.NS,0.1775423265876113,-20,No Correlation
BAJAJFINSV.NS,SBILIFE.NS,0.7021917589369563,-12,Positive
BAJAJFINSV.NS,DRREDDY.NS,0.772449660548993,-20,Positive
BAJAJFINSV.NS,TATACONSUM.NS,-0.3687235227928994,20,No Correlation
BAJAJFINSV.NS,INFY.NS,0.6790153738820077,-20,Positive
BAJAJFINSV.NS,BRITANNIA.NS,0.5308937068063275,-4,Positive
BAJAJFINSV.NS,ZYDUSLIFE.NS,0.45298277211348403,-20,No Correlation
BAJAJFINSV.NS,ADANIENT.NS,-0.2435246268303528,0,No Correlation
BAJAJFINSV.NS,HAL.NS,-0.17408190915068789,20,No Correlation
BAJAJFINSV.NS,ADANIENSOL.NS,-0.24164598218367508,0,No Correlation
BAJAJFINSV.NS,LODHA.NS,-0.3976825170408702,18,No Correlation
BAJAJFINSV.NS,TCS.NS,0.7897166535352279,-20,Positive
BAJAJFINSV.NS,JINDALSTEL.NS,-0.15514023470890181,20,No Correlation
BAJAJFINSV.NS,ITC.NS,0.6735175955273973,-20,Positive
BAJAJFINSV.NS,TATASTEEL.NS,-0.44247823505753237,-20,No Correlation
BAJAJFINSV.NS,HINDUNILVR.NS,0.6379658378091475,-12,Positive
BAJAJFINSV.NS,HDFCLIFE.NS,0.6556571262500456,-8,Positive
BAJAJFINSV.NS,BANKBARODA.NS,-0.7155055876299717,-14,Negative
BAJAJFINSV.NS,PFC.NS,0.3577713714028883,-20,No Correlation
BAJAJFINSV.NS,DMART.NS,-0.38396594323327,20,No Correlation
BAJAJFINSV.NS,SBIN.NS,-0.3307836568151882,-6,No Correlation
BAJAJFINSV.NS,GODREJCP.NS,0.2976101097027477,-20,No Correlation
BAJAJFINSV.NS,UNITDSPR.NS,0.6173303733819806,-11,Positive
BAJAJFINSV.NS,UNIONBANK.NS,-0.6277064054062043,-10,Negative
BAJAJFINSV.NS,KOTAKBANK.NS,0.7087405974849622,-6,Positive
BAJAJFINSV.NS,ADANIPOWER.NS,-0.30190902983574897,20,No Correlation
BAJAJFINSV.NS,BOSCHLTD.NS,0.5156755722976057,18,Positive
BAJAJFINSV.NS,HCLTECH.NS,0.5091713192181277,-9,Positive
BAJAJFINSV.NS,MARUTI.NS,-0.34943052758447957,20,No Correlation
BAJAJFINSV.NS,AMBUJACEM.NS,-0.4538969526899253,20,No Correlation
BAJAJFINSV.NS,NTPC.NS,0.4552972133844779,9,No Correlation
BAJAJFINSV.NS,LT.NS,-0.2922648295681002,13,No Correlation
BAJAJFINSV.NS,ASIANPAINT.NS,0.23414864996059764,-10,No Correlation
BAJAJFINSV.NS,RECLTD.NS,0.4381070872715979,-20,No Correlation
BAJAJFINSV.NS,APOLLOHOSP.NS,0.582472998816286,-7,Positive
BAJAJFINSV.NS,PIDILITIND.NS,0.3805878190945525,-4,No Correlation
BAJAJFINSV.NS,ICICIPRULI.NS,0.6477727270713485,-13,Positive
