Date,AXISBANK.NS,BRITANNIA.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,RELIANCE.NS,TATAMOTORS.NS,TATAPOWER.NS,TITAN.NS,WIPRO.NS
2023-10-04,994.7822265625,4474.2626953125,1181.3916015625,1508.9447021484375,2848.0830078125,2455.791015625,922.1116943359375,1390.087890625,415.7354431152344,1720.1646728515625,10035.064453125,2254.62890625,225.68167114257812,1153.1611328125,611.7122802734375,255.4668731689453,3156.322021484375,197.66062927246094
2023-10-05,1002.476318359375,4475.64453125,1177.4837646484375,1515.0611572265625,2874.381591796875,2467.247802734375,932.8195190429688,1408.4703369140625,415.6877746582031,1732.351318359375,10114.6142578125,2248.00830078125,224.4340362548828,1153.1363525390625,617.6937866210938,256.611572265625,3206.009521484375,198.58816528320312
2023-10-06,1000.1781005859375,4480.13623046875,1179.628173828125,1513.3841552734375,2894.724609375,2447.51611328125,937.1324462890625,1423.1473388671875,421.5029296875,1741.99072265625,10205.6533203125,2247.375732421875,226.0655975341797,1155.0797119140625,620.5350952148438,257.55718994140625,3298.955322265625,199.1007537841797
2023-10-09,995.4817504882812,4464.39111328125,1190.9698486328125,1495.8238525390625,2815.734375,2459.16943359375,930.5887451171875,1420.0194091796875,419.88232421875,1717.417724609375,10148.939453125,2244.393798828125,225.2498016357422,1145.238037109375,615.4507446289062,248.8475341796875,3256.84326171875,198.0023651123047
2023-10-10,1011.4693603515625,4471.74560546875,1202.597412109375,1504.3079833984375,2836.410888671875,2463.967529296875,943.0812377929688,1438.9794921875,423.6478271484375,1754.1773681640625,10277.9208984375,2252.8486328125,226.4014892578125,1150.2958984375,628.6101684570312,252.7295379638672,3258.53759765625,199.05194091796875
2023-10-11,1018.3140869140625,4496.42431640625,1187.1575927734375,1518.8592529296875,2954.610595703125,2503.3330078125,944.9649658203125,1438.257568359375,427.3180847167969,1769.460693359375,10314.673828125,2275.801025390625,229.08872985839844,1168.5589599609375,632.049560546875,252.77931213378906,3269.80078125,205.59341430664062
2023-10-12,1017.6646118164062,4502.1494140625,1166.332763671875,1528.97119140625,2942.604736328125,2503.92041015625,946.1051635742188,1410.4432373046875,429.6536865234375,1761.9188232421875,10481.8955078125,2263.353515625,231.87196350097656,1170.7265625,634.990478515625,253.97378540039062,3274.2861328125,203.6163330078125
2023-10-13,993.2833862304688,4515.92041015625,1196.974365234375,1515.0611572265625,2952.32373046875,2516.112060546875,943.1803588867188,1377.3839111328125,427.4134216308594,1760.0709228515625,10627.1728515625,2310.356689453125,232.30386352539062,1170.6767578125,665.0476684570312,252.9286346435547,3273.040283203125,200.6628875732422
2023-10-16,1004.025146484375,4527.12451171875,1211.0323486328125,1508.9940185546875,3011.923828125,2505.193603515625,943.279541015625,1380.2711181640625,427.9853820800781,1747.8343505859375,10604.337890625,2266.6298828125,233.64747619628906,1168.0606689453125,664.1505126953125,253.6254119873047,3290.632568359375,200.24795532226562
2023-10-17,1007.2726440429688,4541.24072265625,1217.2271728515625,1520.437744140625,3023.310302734375,2503.088134765625,945.7581787109375,1388.25927734375,432.2752685546875,1769.6104736328125,10650.205078125,2287.889892578125,236.04681396484375,1173.6417236328125,653.6828002929688,255.71571350097656,3297.65966796875,200.833740234375
2023-10-18,992.0843505859375,4548.49658203125,1209.8885498046875,1499.2767333984375,3004.444091796875,2495.352294921875,935.6947631835938,1386.4307861328125,430.55926513671875,1751.4803466796875,10687.5029296875,2281.7744140625,232.255859375,1158.069580078125,666.4434204101562,251.8834686279297,3272.04345703125,198.90548706054688
2023-10-19,990.635498046875,4543.31396484375,1207.886962890625,1494.5413818359375,3111.8291015625,2495.205322265625,927.7630615234375,1379.7899169921875,429.36767578125,1736.546630859375,10670.9091796875,2367.05078125,229.8565216064453,1149.1746826171875,666.7424926757812,250.8383026123047,3273.937255859375,192.97418212890625
2023-10-20,979.593994140625,4521.15234375,1211.01416015625,1502.28564453125,3059.803955078125,2443.3544921875,924.7886962890625,1373.63037109375,417.83270263671875,1767.66259765625,10625.291015625,2381.50341796875,231.296142578125,1145.6617431640625,661.1597290039062,246.25950622558594,3255.54736328125,191.29000854492188
2023-10-23,963.5563354492188,4472.38720703125,1189.89404296875,1485.7613525390625,3001.2998046875,2431.9462890625,922.0125732421875,1355.72900390625,415.5447692871094,1738.84423828125,10454.900390625,2373.46533203125,227.0253143310547,1127.7723388671875,645.3584594726562,237.15170288085938,3209.2490234375,187.04290771484375
2023-10-25,954.7131958007812,4475.49658203125,1182.533447265625,1476.3399658203125,2992.72412109375,2425.875,908.28076171875,1335.6463623046875,412.49420166015625,1726.158203125,10489.76953125,2379.836181640625,222.70651245117188,1125.15625,635.8876953125,235.6088409423828,3177.453125,186.4082794189453
2023-10-26,971.3003540039062,4449.8798828125,1185.2275390625,1443.6859130859375,2965.187255859375,2424.99365234375,900.8944091796875,1325.3125,414.067138671875,1692.994384765625,10326.6123046875,2309.498291015625,222.3225860595703,1109.484375,624.6224365234375,233.31944274902344,3090.68701171875,184.65087890625
2023-10-27,1001.9766845703125,4456.29638671875,1220.7322998046875,1449.3583984375,2965.42529296875,2430.526611328125,904.9594116210938,1345.6876220703125,413.49517822265625,1700.8358154296875,10461.8837890625,2359.65478515625,227.07330322265625,1129.0679931640625,639.0778198242188,237.05215454101562,3110.52197265625,186.65237426757812
2023-10-30,988.4371948242188,4404.2734375,1216.931640625,1465.093505859375,2963.66259765625,2427.441650390625,917.0056762695312,1342.4705810546875,410.3492736816406,1715.61962890625,10300.4091796875,2370.909912109375,225.15383911132812,1152.3389892578125,626.5664672851562,237.99778747558594,3106.285888671875,186.48150634765625
2023-10-31,981.0928344726562,4369.62451171875,1227.7562255859375,1456.609375,2942.7001953125,2432.435791015625,907.5371704101562,1334.037841796875,408.3949890136719,1737.4957275390625,10295.0595703125,2377.099365234375,226.3054962158203,1140.08056640625,626.7160034179688,238.2466278076172,3179.2470703125,186.3838653564453
2023-11-01,971.0505981445312,4340.79931640625,1211.3509521484375,1454.6363525390625,2946.606689453125,2420.929931640625,906.248291015625,1320.1456298828125,408.1090087890625,1722.5120849609375,10132.048828125,2355.18798828125,223.234375,1144.814453125,625.7689208984375,235.8079071044922,3163.050048828125,185.9689483642578
2023-11-02,982.1920166015625,4469.080078125,1225.2545166015625,1456.85595703125,2908.15966796875,2453.0380859375,912.0979614257812,1335.743896484375,411.0165710449219,1735.7974853515625,10207.189453125,2378.776611328125,225.77764892578125,1156.1759033203125,634.4920043945312,243.6715087890625,3191.05859375,187.2869873046875
2023-11-03,988.08740234375,4481.2216796875,1218.3748779296875,1463.76171875,2943.70068359375,2475.183349609375,925.8297119140625,1354.1693115234375,413.0185241699219,1731.3524169921875,10180.14453125,2367.653076171875,227.0858154296875,1155.9267578125,645.5079956054688,243.47242736816406,3263.8203125,187.23817443847656
2023-11-06,1008.62158203125,4564.19189453125,1221.694580078125,1474.3668212890625,3017.54541015625,2463.493896484375,937.3803100585938,1368.0615234375,415.02044677734375,1738.2947998046875,10188.6142578125,2396.312744140625,228.53932189941406,1165.544189453125,644.0624389648438,248.3996124267578,3256.394775390625,187.77517700195312
2023-11-07,1020.1127319335938,4595.38623046875,1225.78369140625,1467.2144775390625,2982.6240234375,2462.556884765625,940.0076293945312,1369.0362548828125,412.49420166015625,1749.3326416015625,10157.3603515625,2404.200439453125,231.73699951171875,1157.9698486328125,643.0156860351562,248.64845275878906,3259.534423828125,187.11611938476562
2023-11-08,1020.912109375,4610.58837890625,1219.721923828125,1471.4566650390625,2984.386962890625,2485.14599609375,927.7630615234375,1356.0703125,416.5457458496094,1744.338134765625,10225.7138671875,2395.5234375,229.36294555664062,1163.9993896484375,640.5732421875,253.7747039794922,3301.048583984375,186.57916259765625
2023-11-09,1021.1119995117188,4592.326171875,1219.5777587890625,1465.6361083984375,3024.21533203125,2443.074951171875,929.349365234375,1340.277099609375,414.1148376464844,1743.03955078125,10303.0341796875,2390.1171875,230.57421875,1151.3673095703125,647.352294921875,246.85675048828125,3273.040283203125,185.9201202392578
2023-11-10,1028.40625,4621.79248046875,1207.9832763671875,1471.4072265625,2958.75537109375,2452.79150390625,930.5887451171875,1334.4764404296875,416.1644287109375,1743.5389404296875,10291.591796875,2381.282470703125,235.22543334960938,1153.534912109375,649.0470581054688,250.24107360839844,3245.729736328125,185.16343688964844
2023-11-13,1024.5592041015625,4636.00732421875,1213.323486328125,1468.74365234375,2971.714111328125,2444.50537109375,926.4741821289062,1339.0584716796875,415.6401062011719,1746.2860107421875,10301.1025390625,2376.216552734375,238.083984375,1153.385498046875,651.2402954101562,255.86502075195312,3254.102294921875,186.31065368652344
2023-11-15,1040.546875,4650.271484375,1228.3817138671875,1484.133544921875,3027.979248046875,2452.643310546875,933.0673828125,1375.08056640625,421.312255859375,1767.562744140625,10358.212890625,2384.91796875,239.63438415527344,1174.2396240234375,669.4840087890625,258.005126953125,3285.200439453125,191.19235229492188
2023-11-16,1025.5584716796875,4641.68359375,1261.4810791015625,1488.0302734375,3125.359375,2457.378173828125,928.0109252929688,1408.6168212890625,418.1663513183594,1770.9090576171875,10386.396484375,2375.925537109375,244.52786254882812,1176.357421875,678.3068237304688,261.2401428222656,3325.06982421875,193.8529052734375
2023-11-17,993.5831909179688,4657.67529296875,1259.6529541015625,1484.8240966796875,3177.479736328125,2494.4677734375,913.981689453125,1401.451416015625,418.73834228515625,1762.6680908203125,10425.0322265625,2404.550537109375,243.8011016845703,1173.7911376953125,679.4532470703125,261.439208984375,3327.960693359375,193.02301025390625
2023-11-20,987.9375610351562,4651.4560546875,1275.2884521484375,1484.9227294921875,3188.532470703125,2472.421142578125,913.5851440429688,1400.525146484375,416.4027404785156,1768.611572265625,10467.3818359375,2397.594970703125,243.26817321777344,1170.70166015625,672.2255249023438,259.64752197265625,3334.937744140625,195.36624145507812
2023-11-21,991.03515625,4639.36376953125,1276.443115234375,1497.5008544921875,3217.260498046875,2471.237548828125,918.1954345703125,1402.8648681640625,415.8784484863281,1765.26513671875,10436.5732421875,2404.58984375,242.25070190429688,1185.4266357421875,679.602783203125,261.439208984375,3383.379150390625,195.58590698242188
2023-11-22,997.3302612304688,4633.88525390625,1279.4259033203125,1492.1737060546875,3252.611083984375,2487.661376953125,914.8740234375,1421.19287109375,419.1673278808594,1743.7388916015625,10396.3525390625,2402.3603515625,245.7875518798828,1190.0609130859375,679.1043701171875,260.8917541503906,3418.663818359375,195.39064025878906
2023-11-23,998.279541015625,4645.33544921875,1278.7523193359375,1500.805908203125,3399.729248046875,2485.6884765625,915.1218872070312,1412.8575439453125,419.7869873046875,1737.3958740234375,10390.359375,2406.54833984375,244.91546630859375,1193.6986083984375,677.8582153320312,259.5479736328125,3397.28369140625,196.48902893066406
2023-11-24,1007.7222900390625,4584.47802734375,1259.6529541015625,1511.4603271484375,3381.244384765625,2481.05224609375,921.46728515625,1401.30517578125,417.3560485839844,1742.090576171875,10417.255859375,2381.455322265625,246.02981567382812,1192.9012451171875,671.62744140625,256.9599609375,3385.87109375,193.31590270996094
2023-11-28,1020.362548828125,4652.8876953125,1266.8695068359375,1508.056884765625,3451.1826171875,2476.465576171875,917.6005859375,1406.4720458984375,414.9251403808594,1740.342529296875,10438.9501953125,2389.313232421875,249.566650390625,1193.150390625,695.3541870117188,269.5516357421875,3431.172607421875,193.73086547851562
2023-11-29,1059.33251953125,4741.9287109375,1283.5152587890625,1538.14599609375,3570.192138671875,2490.7685546875,931.5802001953125,1422.9476318359375,416.7840576171875,1751.5302734375,10500.0732421875,2374.40625,250.39031982421875,1196.289794921875,710.1585083007812,272.1396484375,3418.115478515625,198.31967163085938
2023-11-30,1073.421630859375,4790.298828125,1290.2025146484375,1537.8006591796875,3638.939453125,2510.990478515625,926.9699096679688,1418.6094970703125,415.4494323730469,1753.528076171875,10509.4345703125,2391.04443359375,253.200439453125,1184.7041015625,704.226806640625,266.6650085449219,3479.215576171875,201.6392364501953
2023-12-01,1103.7982177734375,4906.88134765625,1286.1611328125,1534.446533203125,3582.67431640625,2528.844482421875,938.61962890625,1415.8309326171875,428.795654296875,1748.58349609375,10486.650390625,2401.15185546875,260.6133117675781,1193.1007080078125,703.2797241210938,274.7276611328125,3478.119140625,199.0030975341797
2023-12-04,1124.73193359375,4874.3056640625,1287.364013671875,1587.718994140625,3618.02490234375,2566.969970703125,982.7398071289062,1427.578369140625,432.84722900390625,1816.55908203125,10500.271484375,2407.485595703125,266.2819519042969,1206.0068359375,703.4292602539062,280.2520751953125,3477.022705078125,198.90548706054688
2023-12-05,1131.57666015625,4884.81884765625,1267.7352294921875,1601.8262939453125,3627.219482421875,2528.449951171875,1004.7998657226562,1417.439453125,430.6546325683594,1826.4481201171875,10621.576171875,2427.818359375,276.60186767578125,1214.752197265625,706.7689819335938,280.20233154296875,3533.7373046875,197.39215087890625
2023-12-06,1119.6358642578125,4938.865234375,1279.28173828125,1605.8712158203125,3583.675048828125,2532.790283203125,994.6869506835938,1437.278564453125,441.61761474609375,1819.4058837890625,10526.3251953125,2463.295166015625,272.38671875,1226.3876953125,720.2274169921875,292.79400634765625,3535.331787109375,204.42181396484375
2023-12-07,1116.9879150390625,4951.55029296875,1277.790283203125,1608.4853515625,3594.727783203125,2484.06103515625,990.4732055664062,1429.0894775390625,436.7081298828125,1824.849853515625,10596.5625,2463.961181640625,275.00299072265625,1224.3695068359375,719.72900390625,324.298095703125,3573.706298828125,204.177734375
2023-12-08,1130.32763671875,4878.69873046875,1312.5252685546875,1630.928955078125,3540.51123046875,2488.05615234375,1002.2220458984375,1453.7054443359375,428.176025390625,1836.4371337890625,10519.1923828125,2445.645751953125,276.2142333984375,1223.7216796875,712.3517456054688,322.0584716796875,3622.795654296875,206.30128479003906
2023-12-11,1115.6390380859375,4880.623046875,1323.302001953125,1628.758544921875,3529.934814453125,2469.6591796875,1008.418701171875,1451.1219482421875,431.32196044921875,1842.0311279296875,10443.111328125,2470.689697265625,278.3945007324219,1225.515625,718.58251953125,332.1119079589844,3618.659423828125,205.32493591308594
2023-12-12,1130.1278076171875,4840.05126953125,1323.302001953125,1612.5794677734375,3570.430419921875,2468.771240234375,1007.0307006835938,1438.984619140625,431.94158935546875,1822.3526611328125,10241.6640625,2461.18896484375,274.6153869628906,1207.92529296875,713.1991577148438,329.2750244140625,3559.751953125,206.10601806640625
2023-12-13,1113.990234375,4856.09228515625,1317.4324951171875,1608.9293212890625,3681.102783203125,2477.797119140625,1005.2460327148438,1412.6138916015625,434.3725280761719,1824.2005615234375,10282.923828125,2470.783447265625,284.93524169921875,1212.8585205078125,718.0840454101562,336.5911560058594,3590.601318359375,204.8611602783203
2023-12-14,1119.5859375,4883.09130859375,1361.115966796875,1627.9200439453125,3700.492919921875,2482.186767578125,1024.8275146484375,1463.7467041015625,438.6147155761719,1851.8203125,10256.3251953125,2446.0107421875,286.2434387207031,1227.907470703125,717.5357666015625,333.8538513183594,3579.686767578125,212.0616912841797
2023-12-15,1119.4859619140625,4850.76171875,1434.9161376953125,1634.23388671875,3712.78466796875,2488.647705078125,1028.5455322265625,1538.764404296875,436.8034362792969,1848.5738525390625,10190.150390625,2403.894287109375,295.64276123046875,1243.579345703125,730.1468505859375,331.66400146484375,3588.80712890625,217.99298095703125
2023-12-18,1110.492919921875,4816.80419921875,1447.4246826171875,1633.395263671875,3706.30517578125,2501.07666015625,1012.7316284179688,1525.0672607421875,430.55926513671875,1844.9278564453125,10223.0390625,2402.69580078125,293.80169677734375,1256.236328125,728.5517578125,335.4962158203125,3607.794921875,217.3583526611328
2023-12-19,1119.3861083984375,4848.14599609375,1432.0296630859375,1630.633056640625,3641.607666015625,2525.9345703125,1006.7828369140625,1519.1693115234375,434.8014831542969,1844.5284423828125,10137.84375,2514.71484375,300.0516662597656,1274.7236328125,726.7074584960938,334.3515319824219,3598.674560546875,214.1608428955078
2023-12-20,1109.393798828125,4891.28466796875,1385.507568359375,1634.677734375,3635.556884765625,2522.778076171875,998.0579223632812,1497.819091796875,429.93963623046875,1824.5003662109375,9986.919921875,2476.046630859375,288.4237060546875,1259.3009033203125,703.080322265625,318.67413330078125,3542.508544921875,210.8656768798828
2023-12-21,1094.5552978515625,4994.58984375,1368.284423828125,1663.9775390625,3668.57275390625,2518.53662109375,995.8271484375,1497.4290771484375,430.36865234375,1850.671630859375,9919.1591796875,2477.832275390625,292.5903625488281,1276.941162109375,706.6692504882812,327.035400390625,3568.323974609375,211.86642456054688
2023-12-22,1087.4608154296875,5094.78564453125,1407.3973388671875,1648.3411865234375,3750.088134765625,2540.63232421875,985.8132934570312,1523.653564453125,433.94354248046875,1858.463134765625,10121.548828125,2502.752685546875,293.4140319824219,1278.1868896484375,722.4705200195312,325.1441650390625,3615.519775390625,225.8525390625
