"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Dec-2020","EQ","871.00","881.80","855.20","866.75","865.15","862.25","867.59","910.70","375.25","56,37,035","4,89,06,08,092.65","1,23,619"
"10-Dec-2020","EQ","870.55","877.80","865.00","870.55","869.50","866.75","869.90","910.70","375.25","46,41,898","4,03,79,96,033.80","98,691"
"09-Dec-2020","EQ","866.10","880.00","864.10","863.80","871.35","870.55","874.48","910.70","375.25","59,52,003","5,20,48,89,086.50","1,22,920"
"08-Dec-2020","EQ","859.00","875.70","856.00","855.30","863.20","863.80","865.60","910.70","375.25","87,22,526","7,55,02,38,411.20","1,90,746"
"07-Dec-2020","EQ","858.00","859.95","850.40","858.50","855.00","855.30","854.22","910.70","375.25","53,14,265","4,53,95,60,113.05","83,690"
"04-Dec-2020","EQ","866.00","867.85","854.45","862.20","858.00","858.50","860.55","1,139.00","375.25","55,77,388","4,79,96,41,241.40","1,47,987"
"03-Dec-2020","EQ","848.50","864.00","843.30","843.15","862.05","862.20","857.58","1,139.00","375.25","96,33,229","8,26,12,41,361.20","1,49,310"
"02-Dec-2020","EQ","836.15","847.45","831.30","834.10","844.00","843.15","839.26","1,139.00","375.25","70,62,229","5,92,70,67,927.40","1,74,376"
"01-Dec-2020","EQ","824.00","835.70","815.10","822.10","835.00","834.10","825.89","1,139.00","375.25","80,78,785","6,67,22,27,499.75","1,70,411"
"27-Nov-2020","EQ","842.00","847.80","814.35","842.05","823.15","822.10","827.29","1,143.40","375.25","1,17,23,771","9,69,89,26,529.75","1,54,427"
"26-Nov-2020","EQ","824.10","845.00","819.60","824.70","841.20","842.05","834.43","1,143.40","375.25","84,14,555","7,02,13,83,073.75","1,38,751"
"25-Nov-2020","EQ","840.50","846.00","822.50","840.50","825.00","824.70","829.08","1,143.40","375.25","56,10,232","4,65,13,24,787.35","1,24,023"
"24-Nov-2020","EQ","843.90","857.40","835.35","839.20","841.00","840.50","847.95","1,143.40","375.25","84,65,615","7,17,84,05,737.30","1,69,850"
"23-Nov-2020","EQ","825.00","842.00","816.25","819.25","838.50","839.20","832.35","1,143.40","375.25","71,16,516","5,92,34,58,911.95","1,39,507"
"20-Nov-2020","EQ","813.95","823.50","804.00","804.55","820.00","819.25","816.68","1,149.70","375.25","74,55,575","6,08,88,10,391.30","1,23,101"
"19-Nov-2020","EQ","815.00","820.45","803.00","814.30","804.60","804.55","811.27","1,149.70","375.25","71,70,339","5,81,71,14,544.55","1,21,823"
"18-Nov-2020","EQ","819.00","819.90","800.25","815.00","814.00","814.30","808.06","1,149.70","375.25","58,16,221","4,69,98,36,405.30","1,32,705"
"17-Nov-2020","EQ","837.95","837.95","814.00","830.50","816.20","815.00","818.56","1,149.70","375.25","59,77,903","4,89,32,92,336.45","1,21,111"
"14-Nov-2020","EQ","834.00","834.00","829.00","828.10","830.50","830.50","831.16","1,159.80","375.25","4,75,390","39,51,26,484.60","16,338"
"13-Nov-2020","EQ","822.90","831.45","818.15","824.70","827.85","828.10","826.38","1,159.80","375.25","39,18,289","3,23,80,10,484.85","67,486"
"12-Nov-2020","EQ","827.15","837.00","822.00","826.05","824.80","824.70","827.32","1,159.80","375.25","46,99,639","3,88,81,03,545.35","1,43,412"
"11-Nov-2020","EQ","813.00","829.00","805.35","809.70","827.00","826.05","816.15","1,159.80","375.25","97,79,484","7,98,15,04,358.40","2,09,931"
"10-Nov-2020","EQ","848.50","848.50","805.75","855.00","812.15","809.70","819.11","1,159.80","375.25","1,03,97,497","8,51,66,93,853.30","2,30,164"
"09-Nov-2020","EQ","866.80","872.80","847.10","850.10","858.95","855.00","856.87","1,159.80","375.25","75,05,062","6,43,08,73,335.15","1,41,970"
"06-Nov-2020","EQ","846.00","855.80","836.40","842.90","854.80","850.10","843.11","1,166.30","375.25","58,71,913","4,95,06,63,909.40","1,13,621"
"05-Nov-2020","EQ","834.00","851.10","830.05","815.15","845.00","842.90","841.02","1,166.30","375.25","89,03,859","7,48,82,98,537.70","1,56,095"
"04-Nov-2020","EQ","812.20","841.75","810.60","814.05","817.95","815.15","824.78","1,166.30","375.25","1,00,77,502","8,31,17,30,455.30","2,06,966"
"03-Nov-2020","EQ","828.00","832.00","812.35","822.40","813.50","814.05","821.95","1,166.30","375.25","70,11,687","5,76,32,48,341.75","1,40,829"
"02-Nov-2020","EQ","841.95","843.85","819.20","841.95","822.15","822.40","825.74","1,166.30","375.25","59,53,172","4,91,57,97,446.60","1,11,715"
"30-Oct-2020","EQ","842.80","859.70","833.00","840.05","844.75","841.95","846.09","1,170.00","375.25","87,27,295","7,38,40,43,618.60","1,34,890"
"29-Oct-2020","EQ","825.00","842.50","818.95","829.60","836.40","840.05","833.08","1,170.00","375.25","66,91,023","5,57,41,54,054.95","1,16,800"
"28-Oct-2020","EQ","852.00","852.00","821.60","847.25","829.90","829.60","833.36","1,170.00","375.25","68,53,043","5,71,10,54,678.00","1,39,980"
"27-Oct-2020","EQ","848.95","857.45","838.70","847.80","850.00","847.25","846.32","1,170.00","375.25","58,07,905","4,91,53,24,316.85","1,09,755"
"26-Oct-2020","EQ","853.00","860.90","842.05","852.45","847.45","847.80","852.83","1,170.00","375.25","66,14,014","5,64,06,36,211.15","1,20,624"
"23-Oct-2020","EQ","871.00","875.45","850.60","866.25","852.50","852.45","860.30","1,170.00","375.25","54,47,502","4,68,64,96,350.10","1,15,601"
"22-Oct-2020","EQ","858.90","878.00","851.55","871.05","866.00","866.25","866.76","1,170.00","375.25","96,07,800","8,32,76,20,040.70","1,68,926"
"21-Oct-2020","EQ","881.00","891.65","860.00","879.65","866.00","871.05","874.89","1,170.00","375.25","1,11,62,084","9,76,56,38,802.00","1,55,501"
"20-Oct-2020","EQ","846.95","886.00","843.60","844.75","881.00","879.65","875.71","1,170.00","375.25","2,15,64,064","18,88,38,32,254.25","2,91,297"
"19-Oct-2020","EQ","839.80","861.70","833.00","827.15","846.95","844.75","848.30","1,170.00","375.25","1,56,71,737","13,29,42,74,079.85","2,58,268"
"16-Oct-2020","EQ","859.00","877.00","820.60","860.00","830.05","827.15","836.13","1,170.00","375.25","2,89,83,265","24,23,37,58,849.90","4,13,675"
"15-Oct-2020","EQ","899.95","903.70","833.45","890.45","863.45","860.00","864.00","1,170.00","375.25","1,56,48,849","13,52,06,50,712.00","2,33,161"
"14-Oct-2020","EQ","904.00","910.70","882.00","900.40","887.00","890.45","893.40","1,170.00","375.25","1,54,41,223","13,79,52,33,299.15","1,91,846"
"13-Oct-2020","EQ","866.30","906.60","863.30","865.80","900.90","900.40","892.77","1,170.00","375.25","1,89,48,688","16,91,68,14,839.50","2,30,425"
"12-Oct-2020","EQ","860.80","871.95","857.15","855.75","866.20","865.80","864.97","1,170.00","375.25","87,17,565","7,54,04,51,283.15","1,17,629"
"09-Oct-2020","EQ","852.90","862.50","849.30","849.55","857.00","855.75","856.14","1,170.00","375.25","72,86,954","6,23,86,55,498.20","1,16,290"
"08-Oct-2020","EQ","857.50","879.00","844.50","828.05","849.50","849.55","862.06","1,170.00","375.25","2,58,60,578","22,29,32,63,288.10","3,47,607"
"07-Oct-2020","EQ","830.00","830.60","823.00","829.15","829.90","828.05","826.72","1,170.00","375.25","69,80,002","5,77,05,34,151.20","1,18,532"
"06-Oct-2020","EQ","830.00","834.50","822.70","824.20","828.00","829.15","828.17","1,170.00","375.25","78,48,520","6,49,99,12,047.05","1,21,003"
"05-Oct-2020","EQ","828.80","839.20","815.10","812.95","823.30","824.20","826.77","1,170.00","375.25","1,18,90,211","9,83,04,83,480.50","1,74,768"
"01-Oct-2020","EQ","819.90","820.95","811.20","811.60","813.70","812.95","815.73","1,170.00","375.25","43,21,350","3,52,50,35,142.45","85,705"
"30-Sep-2020","EQ","818.00","820.50","807.10","812.75","810.00","811.60","812.95","1,170.00","375.25","94,70,277","7,69,88,57,123.65","1,73,273"
"29-Sep-2020","EQ","837.40","841.10","810.20","835.25","815.35","812.75","825.53","1,170.00","375.25","1,05,54,255","8,71,28,07,901.35","1,73,071"
"28-Sep-2020","EQ","838.40","844.75","820.80","827.70","834.00","835.25","835.22","1,170.00","375.25","1,11,46,342","9,30,96,66,828.50","1,80,648"
"25-Sep-2020","EQ","795.25","836.00","792.60","788.30","830.10","827.70","821.94","1,170.00","375.25","1,98,13,372","16,28,53,68,271.70","3,37,042"
"24-Sep-2020","EQ","811.00","811.45","784.00","814.10","788.00","788.30","797.32","1,170.00","375.25","1,05,53,632","8,41,45,80,211.60","1,65,353"
"23-Sep-2020","EQ","832.00","844.80","810.15","821.00","815.00","814.10","827.51","1,170.00","375.25","1,80,70,371","14,95,34,62,393.55","2,80,008"
"22-Sep-2020","EQ","813.95","831.50","790.55","802.60","825.80","821.00","815.42","1,170.00","375.25","2,18,82,919","17,84,37,64,685.35","3,99,486"
"21-Sep-2020","EQ","823.00","849.90","793.45","810.60","801.15","802.60","830.79","1,170.00","375.25","2,49,11,675","20,69,62,85,172.90","4,03,669"
"18-Sep-2020","EQ","808.30","824.00","804.00","808.30","810.00","810.60","814.69","1,170.00","375.25","88,47,758","7,20,82,01,598.45","1,34,982"
"17-Sep-2020","EQ","794.95","817.50","789.50","789.25","806.30","808.30","807.67","1,170.00","375.25","1,99,72,987","16,13,16,26,946.25","2,66,753"
"16-Sep-2020","EQ","790.05","796.30","779.25","792.70","788.45","789.25","788.92","1,170.00","375.25","74,71,542","5,89,44,65,481.45","1,68,914"
